mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,wilc_Cold_,resp_binCold_,sign_binCold_,sign_Cold_,latCold_,resp_Cold_,DV_exact,wilc_Hot_,resp_binHot_,sign_binHot_,sign_Hot_,latHot_,resp_Hot_,wilc_Room_,resp_binRoom_,sign_binRoom_,latRoom_,resp_Room_,sign_Room_,Neuron,Overall SVM Score,95% shuffle,flag_Temp,Anova,T3_0,T3_1,T3_2
CB279,M,122021,tetrodes,temp,45,0.862240223,15.55097222,True,0.0,0.0,0,none,-2.746059113,0.675,-0.200968523,waveforms_45.npy,"[0.6210440574338891, 0.3051933225100779, 0.33251406901323266, 0.08890569443524533]",[],"[0, 0, 0, 0]",0,,0,,"[0.1717655035072243, 0.33412609889052225, 0.5536477503580561, 0.40143853211500347]",[],"[0, 0, 0, 0]",0,,0,"[0.3452707951162496, 0.6441317483481894, 0.9187178214713673, 0.3147978316546409]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,122021,tetrodes,temp,46,0.944085522,17.537,True,0.0,0.0,0,none,-6.405641026,0.55,-0.29281768,waveforms_46.npy,"[0.7236736098317631, 0.7236736098317631, 0.9904066407238225, 0.7236736098317631]",[],"[0, 0, 0, 0]",0,,0,,"[0.9606202987043035, 0.7172636442024809, 0.7359781692979833, 0.7172636442024809]",[],"[0, 0, 0, 0]",0,,0,"[0.3184907277075488, 0.3184907277075488, 0.3184907277075488, 0.3184907277075488]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB278,F,121521,tetrodes,temp,2,28.74900783,16.356625,True,0.025724722,0.063784868,142,none,-9.657563025,0.25,-0.33127572,waveforms_2.npy,"[7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,71.0,1,,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 7.62939453125e-06]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,81.0,1,"[1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08]","[1, 1, 1, 1]","[1, 1, 1, -1]",84.0,1,1,0.0,0.6024,0.44604,True,0.0,1.0,0.78625134264232,0.91005291005291
CB278,F,121521,tetrodes,temp,10,12.97348277,4.914214286,True,0.083622425,0.042223786,94,none,-1.282419786,0.65,-0.210268949,waveforms_10.npy,"[7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,83.0,1,,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 7.62939453125e-06]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,99.0,1,"[1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08]","[1, 1, 1, 1]","[-1, -1, -1, -1]",92.0,1,-1,1.0,0.4648,0.43052,True,1.0,0.8781512605042017,1.0,0.8775599128540306
CB278,F,121521,tetrodes,temp,12,8.563343101,35.25254412,True,0.0,0.0,0,none,-10.76287242,0.625,-0.196648045,waveforms_12.npy,"[0.6555984314348413, 0.8371006110034825, 0.0001256629477445613, 0.0003695968392931328]","[0, 0, 1, 1]","[1, 1]",1,68.0,1,,"[0.00031000866839720604, 0.00020010841200821363, 0.023994296015442375, 0.19015283546544104]","[1, 1, 0, 0]","[-1, -1]",-1,95.0,1,"[0.0692269504070282, 0.018317571937824344, 0.0003881065044385185, 0.0038885434676759647]","[0, 0, 1, 0]",[-1],442.0,1,-1,2.0,0.748,0.45728,True,1.0,1.0,0.04151223128243143,0.7887323943661971
CB278,F,121521,tetrodes,temp,22,3.438094214,8.43125,True,0.025333927,0.000898378,2,none,-2.287701613,0.675,-0.22972973,waveforms_22.npy,"[0.002901827460205306, 5.383922222666869e-06, 4.272022053250091e-06, 5.961099334220023e-06]","[0, 1, 1, 1]","[-1, -1, -1]",-1,329.0,1,,"[0.0004911484884974972, 7.62939453125e-06, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,141.0,1,"[0.24616982413400235, 5.2659180320146705e-05, 9.541424828910547e-06, 7.49118976216673e-05]","[0, 1, 1, 1]","[1, -1, -1]",123.0,1,1,3.0,0.4472,0.4372,True,0.0,0.8915094339622641,0.026812313803376363,1.0
CB278,F,121521,tetrodes,temp,25,5.834069461,6.645808824,True,0.083583099,0.008534595,19,none,-1.137127578,0.95,-0.127596439,waveforms_25.npy,"[1.2949109077453613e-05, 8.355811875136535e-06, 2.2308703204770527e-05, 1.1392156311303531e-05]","[1, 1, 1, 1]","[1, -1, -1, 1]",1,90.0,1,,"[0.0014527006608737434, 0.00039544443343480005, 7.2479248046875e-05, 5.340576171875e-05]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,123.0,1,"[0.0007933044601578954, 2.7185591607423432e-05, 1.2642012577391552e-05, 3.526737644540734e-05]","[1, 1, 1, 1]","[1, 1, -1, -1]",113.0,1,1,4.0,0.444,0.44664,False,1.0,0.0,0.0,0.0
CB278,F,121521,tetrodes,temp,26,17.35217919,9.259045455,True,0.030334012,0.027400542,61,none,-3.807944996,0.3,-0.259259259,waveforms_26.npy,"[7.450580596923828e-09, 6.763311140924233e-06, 1.3497433381104393e-05, 7.203998003127658e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,68.0,1,,"[7.62939453125e-06, 7.62939453125e-06, 3.814697265625e-06, 7.62939453125e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,102.0,1,"[7.450580596923828e-08, 6.601424725656768e-06, 2.8894365961063772e-05, 6.407499313354492e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",67.0,1,1,5.0,0.6128,0.43552,True,0.0,0.7000452079566003,1.0,0.6903422409751523
CB278,F,121521,tetrodes,temp,31,1.904562251,8.952454545,True,0.412779116,0.004491892,10,none,-3.695661846,0.925,-0.240478781,waveforms_31.npy,"[0.1898068377149541, 0.06389973475455116, 0.11567633959761325, 0.06389973475455116]",[],"[0, 0, 0, 0]",0,,0,,"[0.1346590665228027, 0.1346590665228027, 0.5610259094614841, 0.41462496350189904]",[],"[0, 0, 0, 0]",0,,0,"[0.30949007318220556, 0.8802949515728461, 0.30949007318220556, 0.18479665152969427]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB278,F,121521,tetrodes,temp,36,2.412595247,8.210293103,True,0.077172111,0.001347568,3,none,-3.560483871,0.7,-0.280112045,waveforms_36.npy,"[7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09, 7.450580596923828e-09]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,99.0,1,,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,139.0,1,"[1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08, 1.4901161193847656e-08]","[1, 1, 1, 1]","[-1, -1, -1, -1]",100.0,1,-1,7.0,0.3512,0.45128,False,0.0,0.0,0.0,0.0
