Unnamed: 0,mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_WaterCold,resp_binWaterCold,sign_binWaterCold,sign_WaterCold,latWaterCold,resp_WaterCold,wilc_WaterHot,resp_binWaterHot,sign_binWaterHot,sign_WaterHot,latWaterHot,resp_WaterHot,wilc_SalivaCold,resp_binSalivaCold,sign_binSalivaCold,sign_SalivaCold,latSalivaCold,resp_SalivaCold,wilc_SalivaHot,resp_binSalivaHot,sign_binSalivaHot,sign_SalivaHot,latSalivaHot,resp_SalivaHot,95% shuffle,SVM_W,SVM_AS
1,CB347,M,32123,tetrodes,water_and_saliva,11,4.321599625,9.590143297,True,0.033061266,0.001852379,4,none,-9.16826087,0.675,-0.367458867,waveforms_11.npy,,"[0.0011833493121633427, 0.0006297173805138389, 0.024538270558667235, 0.02248528332245967]","[1, 1, 0, 0]","[-1, -1]",-1.0,87.0,1.0,"[0.6077660314078546, 0.24706122927008456, 0.003462375720911807, 0.0005559224557991769]","[0, 0, 0, 1]",[1],1.0,591.0,1.0,"[0.0100202227640629, 0.00431435275245008, 0.0004664021919771973, 0.00016991328947532001]","[0, 0, 1, 1]","[-1, -1]",-1.0,449.0,1.0,"[0.6512248507036705, 1.0, 0.011958322199936684, 0.0035784994494912482]",[],"[0, 0, 0, 0]",0.0,,0.0,0.6537333333333333,0.7666666666666666,0.805
2,CB347,M,32123,tetrodes,water_and_saliva,15,0.962773856,21.85661585,True,0.0,0.0,0,none,-9.230040323,0.75,-0.254901961,waveforms_15.npy,,"[0.14980430484573304, 0.6471653623674218, 0.14980430484573304, 0.07670068557959019]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0005089661336352648, 0.0006949573537306012, 0.0022408918255494236, 0.00014125790283276872]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,2.0,1.0,"[0.6456208422059233, 0.45247025561655785, 0.2794480959949426, 0.4626414805493335]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.006917793235607882, 0.000798042756689039, 0.0007565679240551824, 0.000753698935238635]","[0, 1, 1, 1]","[-1, -1, -1]",-1.0,317.0,1.0,0.5429333333333334,0.5333333333333333,0.62125
4,CB347,M,32123,tetrodes,water_and_saliva,20,21.41257217,7.589874339,True,0.058581449,0.080578476,174,none,-3.058102637,0.75,-0.317708333,waveforms_20.npy,,"[1.9073486328125e-06, 1.9073486328125e-06, 1.9073486328125e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,135.0,1.0,"[2.156276880617198e-05, 0.0023037506701411104, 1.9027056997459696e-05, 1.9101875981612204e-05]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,138.0,1.0,"[0.00012513883016987694, 0.0002560400668530361, 0.00016965554759561943, 0.00233349233692693]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,127.0,1.0,"[1.1920928955078125e-07, 3.5762786865234375e-07, 1.1920928955078125e-07, 2.4748214680371303e-05]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,145.0,1.0,0.5935333333333334,0.6679999999999999,0.68125
5,CB347,M,32123,tetrodes,water_and_saliva,23,16.92564774,19.80246311,True,0.000538838,0.000463095,1,none,-7.973543473,0.275,-0.344591287,waveforms_23.npy,,"[3.814697265625e-06, 3.814697265625e-06, 5.7220458984375e-06, 9.422246116292308e-05]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,134.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,2.0,1.0,"[2.384185791015625e-06, 3.2391245589125224e-05, 7.867813110351562e-06, 4.5299530029296875e-06]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,117.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,38.0,1.0,0.6271333333333332,0.7973333333333333,0.715
6,CB347,M,32123,tetrodes,water_and_saliva,26,16.41716977,6.528341584,True,0.030354832,0.024544018,53,none,-1.809982984,0.3,-0.246045694,waveforms_26.npy,,"[0.09974680442895134, 0.27715811466979245, 0.00023075357738689474, 5.7220458984375e-06]","[0, 0, 1, 1]","[-1, -1]",-1.0,607.0,1.0,"[0.06463621605584219, 0.25210339975722384, 0.0001669171527043657, 5.960464477539062e-07]","[0, 0, 1, 1]","[1, 1]",1.0,144.0,1.0,"[0.06500369548443119, 0.016055197608736572, 0.00017749300334545654, 1.6689300537109375e-05]","[0, 0, 1, 1]","[1, 1]",1.0,144.0,1.0,"[0.06245586285933312, 0.28333721635786346, 0.00011288473523070405, 9.485582358376972e-05]","[0, 0, 1, 1]","[1, 1]",1.0,140.0,1.0,0.6177999999999999,0.8653333333333333,0.70375
7,CB347,M,32123,tetrodes,water_and_saliva,28,13.20097717,10.01110394,True,0.000885801,0.000463095,1,none,-4.133976834,0.725,-0.270980789,waveforms_28.npy,,"[0.00022241713495914917, 9.573705136498657e-05, 8.31966762469768e-05, 0.0004792877798731423]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,153.0,1.0,"[0.0205186279614876, 0.0026091240990476178, 0.09519869620567636, 0.2749196890717267]",[],"[0, 0, 0, 0]",0.0,,0.0,"[3.215310727784718e-05, 2.665505053727575e-05, 2.665505053727575e-05, 7.152557373046875e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,197.0,1.0,"[0.00030319456953744033, 4.3482868018235375e-05, 0.00017485162118134698, 0.15102615479062906]","[1, 1, 1, 0]","[-1, -1, 1]",-1.0,135.0,1.0,0.5978,0.7506666666666666,0.82
9,CB347,M,32123,tetrodes,water_and_saliva,40,9.470286363,8.741982567,True,0.053356092,0.014355935,31,none,-3.408756684,0.75,-0.23853211,waveforms_40.npy,,"[0.0007046406036709794, 0.000923341992781192, 0.007941346473627932, 0.04351011619427021]","[1, 1, 0, 0]","[-1, -1]",-1.0,171.0,1.0,"[0.0002510276920853485, 0.001070950135264407, 0.03494891957254499, 0.26233821128941204]","[1, 1, 0, 0]","[-1, -1]",-1.0,154.0,1.0,"[0.00041830126950649204, 8.722435654517751e-05, 0.0006681541819332315, 0.0014949345442272079]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,28.0,1.0,"[0.000395508891843004, 9.071361719511313e-05, 0.0011259139366769358, 0.09070696367147871]","[1, 1, 1, 0]","[-1, -1, 1]",-1.0,145.0,1.0,0.6060666666666665,0.5906666666666667,0.67375
10,CB347,M,32123,tetrodes,water_and_saliva,42,21.50843277,7.24860681,True,0.027361813,0.037973764,82,none,-0.360667693,0.125,-0.100364964,waveforms_42.npy,,"[5.7220458984375e-06, 0.0001496927488930208, 9.342828883492249e-05, 5.7220458984375e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,161.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,138.0,1.0,"[2.384185791015625e-07, 2.384185791015625e-07, 2.384185791015625e-07, 2.384185791015625e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,146.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,145.0,1.0,0.6135333333333334,0.5506666666666667,0.615
11,CB347,M,32123,tetrodes,water_and_saliva,45,0.507088683,12.0073662,True,0.0,0.0,0,none,-5.177864294,0.725,-0.300626305,waveforms_45.npy,,"[0.6720969384209414, 0.6868628636128575, 0.599037171009317, 0.37338717013783806]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.9509824989716867, 0.07726962844785722, 0.5774806453283354]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7037552435600076, 0.4503142755112408, 0.6915230036473563, 0.9479402265871469]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 0.16657094725166677, 0.09440034897225749]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
12,CB347,M,32123,tetrodes,water_and_saliva,47,12.38593052,4.270194738,True,0.032198915,0.01481903,32,none,-1.541100076,0.325,-0.350453172,waveforms_47.npy,,"[1.9073486328125e-06, 1.9073486328125e-06, 1.9073486328125e-06, 1.9073486328125e-06]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,176.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,216.0,1.0,"[1.1920928955078125e-06, 2.867398756281929e-05, 2.8612937822758165e-05, 2.384185791015625e-07]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,146.0,1.0,"[2.384185791015625e-07, 2.384185791015625e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,0.0,1.0,0.6259999999999999,0.8546666666666667,0.71125
